type	file_id	file_name	file_type	file_description	file_size	md5sum	file_url_in_cds	experimental_strategy_and_data_subtypes	submission_version	checksum_value	checksum_algorithm	file_mapping_level	release_datetime	is_supplementary_file	crdc_id	entityid
file	dg.4DFC/b8450cd2-3afe-5eef-aac4-2a06c1983024	LSP11064.ome.tif	OME-TIFF		1.3338E+11	0984824f0d5c825f268e92ed7b253da9		Pathological								syn68348965
file	dg.4DFC/d2d0152f-a50c-5bcd-a5a5-36ea6955b8d8	LSP11068.ome.tif	OME-TIFF		1.05037E+11	d1a781875f384868258d0617dba80fef		Pathological								syn68348953
file	dg.4DFC/1c80ad2f-ee5a-53c0-a5fa-d806fd6bb7f5	LSP11072.ome.tif	OME-TIFF		1.12595E+11	ff0c2b46ad86a290088dd3ef9caef1dc		Pathological								syn68348956
file	dg.4DFC/b5cc4ead-8d2a-53db-a6be-8c60079a5188	LSP11076.ome.tif	OME-TIFF		1.23043E+11	25599b02dbaf2344a4d1ad0567558e9e		Pathological								syn68349087
file	dg.4DFC/bd342f06-ceed-5d90-b066-5046163d9ae5	LSP11088.ome.tif	OME-TIFF		1.4405E+11	b4c07fad4be4afe7e55dd366a16d9ffe		Pathological								syn68349099
file	dg.4DFC/bfe625e8-80d2-51fd-a2ce-5d7702debce7	LSP15327.ome.tif	OME-TIFF		1.78507E+11	027aae3adb999f93a698f4588ca93e35		Pathological								syn68349119
file	dg.4DFC/b3477f45-ac2e-5280-95db-e37ae31d5b90	LSP15331.ome.tif	OME-TIFF		1.68725E+11	cebf7f6d4fc159fbd18b5a302118a09c		Pathological								syn68349113
file	dg.4DFC/e65a93e4-8aca-5001-9360-5f8a753134f7	LSP15335.ome.tif	OME-TIFF		1.29489E+11	02d695e6772759d97e80484a2f8a6618		Pathological								syn68349166
file	dg.4DFC/f8e7fa78-07ef-5607-9600-463ed5c88e45	LSP15339.ome.tif	OME-TIFF		1.51053E+11	1ec7c394bb6a63d9faf73cbfaed2e714		Pathological								syn68349176
file	dg.4DFC/c5307ab5-bf4f-5160-b763-33c2c516626c	LSP15343.ome.tif	OME-TIFF		1.80285E+11	5ec8c148227889abd0c2b5bd7e95ed00		Pathological								syn68349179
file	dg.4DFC/a2f3a8c5-63ac-5bd4-9a5b-ebc743068389	LSP15347.ome.tif	OME-TIFF		1.10594E+11	ebacc3a830aa2eb31a3d385f98d3f71b		Pathological								syn68349171
file	dg.4DFC/a594dcee-e88a-5459-80c6-1abd25ff9ba2	LSP15355.ome.tif	OME-TIFF		1.08927E+11	c4cba840eeef6ae006a4d0ab98fbf269		Pathological								syn68349180
file	dg.4DFC/01dc4f4d-03b0-5739-a0af-214e5cb457e4	LSP15359.ome.tif	OME-TIFF		1.05815E+11	daaa12377598f4e2e6027984097f95b4		Pathological								syn68349185
file	dg.4DFC/3f0dafb4-c8d4-5064-837e-5bd50f585c24	LSP16136.ome.tif	OME-TIFF		1.50386E+11	fb1bcdcde491e6f68f26614e4eb1defa		Pathological								syn68349215
file	dg.4DFC/acc1f3f8-5053-5903-93ac-44a323518a4b	LSP16138.ome.tif	OME-TIFF		1.83842E+11	a12f3fd612df7a10caf02be64e06a84a		Pathological								syn68349234
file	dg.4DFC/1b87cd24-5b4e-50d8-b6c9-25f3639547cd	LSP16141.ome.tif	OME-TIFF		1.28711E+11	e619a02b4555d4c128395e2ec6733633		Pathological								syn68349229
file	dg.4DFC/4e623ee1-38a5-509d-8a71-4ee4460e87ee	LSP16144.ome.tif	OME-TIFF		1.78951E+11	7cbab24ff105d0d66db97466f4aa7ba7		Pathological								syn68349249
file	dg.4DFC/4f66678f-e361-58cf-9290-b8ecb53fc823	LSP16147.ome.tif	OME-TIFF		1.71171E+11	cfe7db757bb3a664835921c6c066d12a		Pathological								syn68349253
file	dg.4DFC/c1fb791f-e4b5-57b0-8c8e-e8c83e759c87	LSP16150.ome.tif	OME-TIFF		36679500069	f1400b6e558564b08e210ba70ea8e251		Pathological								syn68349245
file	dg.4DFC/2280a56d-62ff-55c8-8829-888fba3e41f9	LSP16153.ome.tif	OME-TIFF		1.4405E+11	0570de915409d18df9d1c34c4885b953		Pathological								syn68349279
file	dg.4DFC/32def9e4-55cd-5085-8c05-824dc1895e52	LSP16156.ome.tif	OME-TIFF		1.7884E+11	fafbc791e2b2d22dbf1edb05059d6ddc		Pathological								syn68349290
file	dg.4DFC/8b80031f-b228-5418-aa7b-d692b30e9210	LSP16159.ome.tif	OME-TIFF		1.11594E+11	1b89e208fbc464bd8f4cd477d99a200f		Pathological								syn68349280
file	dg.4DFC/0926e420-a9b0-5b1d-bc80-94a51362ead1	LSP17722.ome.tif	OME-TIFF		1.22709E+11	53832b10eb4f77ad154ade74575f049f		Pathological								syn68349294
file	dg.4DFC/c23fd789-c625-5ca2-8764-c14b4477aa10	LSP17726.ome.tif	OME-TIFF		1.15707E+11	56621fa666ce98e49687776a40042292		Pathological								syn68349309
file	dg.4DFC/72a39665-bd45-5839-bfa7-5a21a664cdb3	LSP17730.ome.tif	OME-TIFF		1.86954E+11	a9f3f3d0ec6e3caff6c281c6682e0778		Pathological								syn68349364
file	dg.4DFC/9587c8cf-fe4e-5530-9a84-f6c95cbafce8	LSP17734.ome.tif	OME-TIFF		71727312127	9b5522d937ce00bce01e25908d2a0391		Pathological								syn68349335
file	dg.4DFC/791fdfa8-80b6-50d2-9e43-d6c1f3aa5d35	LSP17758.ome.tif	OME-TIFF		1.04097E+11	5247bd4ba5be5bc589170b17ddbf6738		Pathological								syn68349359
file	dg.4DFC/00dfd7e5-dd3b-5e72-a0ab-4e77fdfc28df	LSP17762.ome.tif	OME-TIFF		1.2506E+11	fa43859b04156d3470acd4b250eee27f		Pathological								syn68349403
file	dg.4DFC/e00970f0-e090-584e-a89a-edfed93c2698	LSP17766.ome.tif	OME-TIFF		1.32356E+11	c10cceeefb956110dc2fff8776f8a260		Pathological								syn68349409
file	dg.4DFC/4c7a6652-ad33-566c-a801-7451e3d04f06	LSP17786.ome.tif	OME-TIFF		1.16017E+11	4168972150987d1a8c3e0fd1c6f1079b		Pathological								syn68349417
file	dg.4DFC/043bca78-c16f-514f-b68f-0e7bd02e676a	LSP17790.ome.tif	OME-TIFF		92382280543	9da20033b0d6ae385cf89968c11da35f		Pathological								syn68349410
file	dg.4DFC/71ba6983-9a55-5d98-a319-7f350545fac0	LSP17802.ome.tif	OME-TIFF		1.07488E+11	f86a599c7d02539936ef4397dacc0468		Pathological								syn68349446
file	dg.4DFC/371fa1ef-b42d-5bf3-abe7-f37df289f813	LSP17818.ome.tif	OME-TIFF		1.57944E+11	db785b5c8c58f4641c520daa36b8a9f6		Pathological								syn68349552
file	dg.4DFC/aca22d2b-9ae5-5498-9e08-1252f4d16e09	LSP17822.ome.tif	OME-TIFF		1.17559E+11	1569c304791d8feb461d25cff22d1bf2		Pathological								syn68349548
file	dg.4DFC/28d40500-2095-5a58-898c-7a096e67f12d	LSP17850.ome.tif	OME-TIFF		1.07488E+11	71a001cc0dc32cfec53ce4621ea74366		Pathological								syn68349550
file	dg.4DFC/2e1ae366-e976-5aed-83db-7276d47b1486	LSP18301.ome.tif	OME-TIFF		1.25488E+11	68ac268a124d6687f1f17eeb01cb9ca1		Pathological								syn68349599
file	dg.4DFC/b2193611-746a-56f4-b8e7-ac1ec17bad95	LSP18305.ome.tif	OME-TIFF		1.71059E+11	2d292344061870803417ac2883e672a5		Pathological								syn68349624
file	dg.4DFC/083ec742-b4be-59ae-8ddd-2ab6e5659f8b	LSP18309.ome.tif	OME-TIFF		1.31824E+11	a673367d7195d5160e0be7105212e321		Pathological								syn68349618
file	dg.4DFC/7d34cf88-2023-591e-8418-edcedb3f2033	LSP18313.ome.tif	OME-TIFF		1.93734E+11	f95ddbd7178a928fd016fd86c311884b		Pathological								syn68349645
file	dg.4DFC/7def133c-ffa7-5697-902b-557984ae43be	LSP18317.ome.tif	OME-TIFF		1.51608E+11	d02497b8206b9ed102d1fbc56e1aeceb		Pathological								syn68349650
file	dg.4DFC/997a73e8-cdd6-562a-9412-06035f70dd9a	LSP19412.ome.tif	OME-TIFF		1.81063E+11	fe58d0b86b9c73426c01a967e61da358		Pathological								syn68349665
file	dg.4DFC/7c8819b6-815c-5b57-a821-0b17f2fe1f53	LSP19416.ome.tif	OME-TIFF		1.41271E+11	32672fae28b6c9ae078533bb0b0f80cf		Pathological								syn68349664
file	dg.4DFC/a5a6de90-3639-5ca8-8a65-34a0c81dc54a	LSP19420.ome.tif	OME-TIFF		1.76284E+11	d70807ea2866e99e5ac46c123b7d5687		Pathological								syn68349682
